Date;hour;air_temp;W
19-janv-21;19;4;W
19-janv-21;20;4;W
19-janv-21;21;4;W
19-janv-21;22;4;W
19-janv-21;23;3;W
20-janv-21;0;2;W
20-janv-21;1;2;W
20-janv-21;2;2;W
20-janv-21;3;2;W
20-janv-21;4;2;W
20-janv-21;5;2;W
20-janv-21;6;2;W
20-janv-21;7;2;W
20-janv-21;8;2;W
20-janv-21;9;2;W
20-janv-21;10;2;W
20-janv-21;11;3;W
20-janv-21;12;3;W
20-janv-21;13;3;W
20-janv-21;14;3;W
20-janv-21;15;2;W
20-janv-21;16;2;W
20-janv-21;17;1;W
20-janv-21;18;1;W
20-janv-21;19;1;W
20-janv-21;20;1;W
20-janv-21;21;0;W
20-janv-21;22;0;W
20-janv-21;23;0;W
21-janv-21;0;0;W
21-janv-21;1;0;W
21-janv-21;2;0;W
21-janv-21;3;0;W
21-janv-21;4;-1;W
21-janv-21;5;-1;W
21-janv-21;6;0;W
21-janv-21;7;0;W
21-janv-21;8;0;W
21-janv-21;9;1;W
21-janv-21;10;2;W
21-janv-21;11;3;W
21-janv-21;12;3;W
21-janv-21;13;4;W
21-janv-21;14;4;W
21-janv-21;15;4;W
21-janv-21;16;4;W
21-janv-21;17;3;W
21-janv-21;18;3;W
21-janv-21;19;3;W
21-janv-21;20;2;W
21-janv-21;21;2;W
21-janv-21;22;2;W
21-janv-21;23;2;W
22-janv-21;0;2;WE
22-janv-21;1;2;WE
22-janv-21;2;2;WE
22-janv-21;3;2;WE
22-janv-21;4;3;WE
22-janv-21;5;3;WE
22-janv-21;6;3;WE
22-janv-21;7;3;WE
22-janv-21;8;3;WE
22-janv-21;9;3;WE
22-janv-21;10;4;WE
22-janv-21;11;4;WE
22-janv-21;12;4;WE
22-janv-21;13;4;WE
22-janv-21;14;4;WE
22-janv-21;15;4;WE
22-janv-21;16;4;WE
22-janv-21;17;4;WE
22-janv-21;18;4;WE
22-janv-21;19;4;WE
22-janv-21;20;4;WE
22-janv-21;21;3;WE
22-janv-21;22;3;WE
22-janv-21;23;3;WE
23-janv-21;0;3;WE
23-janv-21;1;3;WE
23-janv-21;2;3;WE
23-janv-21;3;3;WE
